HolderAddress,Balance
0xf1cf4e07e4e9eA602f3bf5fC4e247d16aD724C2E,246
0x79eD55FDceFC4304CABd6f173c1A74c454785210,142
0x6ac695fa77030a4eE578769636036A6C873A0295,139
0xC34aE1A39662415a4720d4A3e7C2Be0E202568C2,123
0x3d881Df95e03e15be5E3DFfd7e452696C8791a80,115
0x81535681032FfCe2f2912653c64bc2C358765616,114
0x24489440D69505D57Dd79b4B8caeC7B5aB05FF9C,114
0xba5C5C2E854B68C0B9FD14Ca954E225825CfB0Ea,112
0x8a66518Dd59aA0bB081781C3fAbCbb7a896732EB,111
0x88Bb006E0ED0234a24cd94Ccb06Ed1F164b0fFd9,111
0x6848FeC9005495c9b25a8A283C1209DBF1d37aBF,111
0x3a4eA7895A8d4a73c54050798c030cED29bE35de,111
0x2E17bDCEFDc8a4461922e0C6F3290C3828af14Fd,111
0x246D1c877c176E2f00014DE7B013478538e6939f,111
0x412d36165A3A3373217155e8912BC6314474950b,109
0x008496dD31c22c630aA7F4905A1fb1762e1ca55b,102
0xd138D2C005bb2beC028a421FE46ad6C863A9f0A6,99
0xd8506b80218089A96012F206986277C4Cc706D5f,98
0xCf1F1D4212f5Ef496C04ee250A153Ee110E7DE68,93
0xEeFC49b3247b605441B8c6Ca541d3769A77ea3d7,90
0x107594CE2902d6a1e6cdF42798783fC659B156cC,90
0xB6A097370F32223414095B907d79Ae73eAB5aEe7,86
0xc4da93843cA009814325AA5437412c85612d3f1f,69
0x9152e110eE10e15e3021DcfeF838BC3Bb309a2b5,69
0x3De32B40055860D98b73bbDC98ecc59226DDAF2A,69
0x802C4406A8b9a72c121F3F63b712Db0eAf3Dc909,65
0x7E25E70FCEF68E28C65e1be61f0551E28f8F4A26,60
0x1F92fC15bCbEB4dD24EeFbead8d7aeE409f891DC,59
0x77F40BFD546004400284B637c40Dfd821e4ce39c,57
0x1eaA38A21fC6697bf61D53c399560e65Bc61C4Da,50
0x1AF3a792a2c2E5f11d732164eFd2f02995ae9787,50
0x44819D77DEa003c72853722Dcb0c0A26aA8da713,48
0x00E22bD8b1Ba7fb5C6bcDad1fF4880cC4aaED159,48
0xdBD0108feE34DD2f89eb67D8F436FcCCa5BD4BC1,47
0x66D2aa9c766782F0674Ebc50b7632b735b8e83fc,46
0xfF32151ad67AD571adFD97C3068C898606B0C332,41
0x67bb212196e7dd8c515Dfea6b705752995dC1086,41
0x46207933722A04B65342d9de7dCA845a924Fc9cD,41
0xa734439d26Ce4dBf43ED7eb364Ec409D949bB369,40
0x7Da568cFEEA5cA6e8B0B453ffea06dFcEd2D3052,40
0x626118559Fdb2616cFFbCea452264E1475a9a912,40
0x1b0BEFaC8e4a289992a31E4309Ba2EDBF28E40cC,40
0xA6c097488c72f3bb2AF58bDee69d8854d6B9787C,39
0x74eb9DE6c5BAEA3a1Eb4EebA5E8C24c7733B29Ed,38
0x402354105f844F458FB1062c6ac87E86e889d2f4,37
0x1db6E0a00724172BF47D7bd59FD092Cc9Ec9f36D,37
0x43638f8740Cb5f67811C34484bab8B48990B5158,36
0xBAF4C51359A940942534214C8154bB11F5a5859d,33
0xDfCFC4F8334d6350A438F72771436476ac6229e4,31
0x70CFB1fdd807DEe18764c805Da7517AD30F47009,31
0x589FFBbdA0EaCD5A9C2BA208b379c886B2630503,31
0xE4E75D7dF7fE0CfDfAc5fa0C1E4EB184d5Ef614C,30
0x9a2260158Ab48DCE3907ada95c27d832631CAA47,30
0x98Ecf2327633e245627Cf65263E82b5daa6E2FFE,30
0x39fF8dc807a2e57B7e7d9264E5002b45481Dc47B,29
0x79e5cB71Eb7A00C04d2252560e87b47F172CC546,26
0x47E12AFa927f782E942f065CE3f6B26989A65cD6,26
0x021505f6D73f8A079EeD25A9eE983003c7B9Be0e,26
0x5D802e2Fe48392c104Ce0401C7ECa8a4456f1F16,25
0xcf61304a0C0a1c66Fe332Ff6D02c9127aEdDe644,24
0x37a0d07abC3ccC1f8460593Aed1FE9390bA49Bc3,24
0x47676C02d1c8E42A4B86D4FE66164B94f60b1Da2,23
0x24e5B063fBfa23A168148d102A239C139Ad83cC7,23
0xF138984Bd659edd8DE38fb2FebEdae8bED5E0255,22
0xE14c2e8F4D2084a6D9784Fc3a9647Ce0d28899d4,22
0xC29703C065C875BEF3fd6DFcacB3d03E6c588F53,22
0xC16Ea2E249F068E42bb06A8DDD64ACdcD782b4D9,22
0xBE98086249EF77547500857f4908371A36Ad538C,22
0xB5Bd41903E4cD9b57460dc38dAF5aE38E673Ca18,22
0xaA90beFC76B37F487eEc5C1A593ea5b9826440bE,22
