timestamp,total_holders,holders_gt_11,holders_gt_111
27-07-2024 17:38,2029,165,14
27-07-2024 18:06,2030,165,14
27-07-2024 18:35,2032,165,14
27-07-2024 19:42,2032,166,14
27-07-2024 20:05,2033,166,14
28-07-2024 01:51,2037,166,14
28-07-2024 07:58,2040,166,14
28-07-2024 12:53,2042,167,14
28-07-2024 18:37,2065,166,14
29-07-2024 01:48,2073,167,15
29-07-2024 06:40,2071,166,15
29-07-2024 12:52,2065,166,16
29-07-2024 18:38,2074,165,15
30-07-2024 01:44,2072,163,15
30-07-2024 06:39,2079,164,15
30-07-2024 10:45,2091,164,15
30-07-2024 12:51,2095,164,15
30-07-2024 18:38,2106,165,15
31-07-2024 01:27,2093,156,14
31-07-2024 06:33,2089,155,14
31-07-2024 12:55,2084,155,14
31-07-2024 18:38,2070,155,14
01-08-2024 01:52,2062,153,13
